S.No,"Invoice No",Branch,"Investment Date","Scheme Name","Customer Name (UIDAI)",Mobile,"Investment Amount","Maturity Amount","Maturity Date"
1,INV/2025-26/2/38,"Vizag - Akkayapalam","Sep 09 2025","MSP 2","LAVKUSH SINGH1 (785111744255)",8409291483,34.00,34.68,"Sep 18 2025"
2,INV/2023-24/6/27,"Jaipur (3) - 'C' Scheme","Sep 12 2025","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Oct 21 2025"
3,INV/2021-22/6/25,"Jaipur (3) - 'C' Scheme","Jan 01 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 03 2022"
4,INV/2021-22/6/21,"Jaipur (3) - 'C' Scheme","Jan 28 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Mar 02 2022"
5,INV/2021-22/6/19,"Jaipur (3) - 'C' Scheme","Dec 26 2021","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Jan 28 2022"
6,INV/2021-22/6/18,"Jaipur (3) - 'C' Scheme","Dec 26 2021","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Jan 28 2022"
7,INV/2021-22/6/17,"Jaipur (3) - 'C' Scheme","Dec 28 2021","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Jan 30 2022"
8,INV/2021-22/6/14,"Jaipur (3) - 'C' Scheme","Dec 24 2021","MSP 2","Developer SM (123456789102)",8777269326,21000.00,30450.00,"Feb 04 2022"
9,INV/2021-22/6/13,"Jaipur (3) - 'C' Scheme","Dec 25 2021","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Jan 27 2022"
10,INV/2021-22/4/12,Udaipur,"Dec 17 2021","MSP 1","Amit Saha (987456321478)",8630180711,15000.00,21000.00,"Jan 19 2022"
11,INV/2021-22/4/11,Udaipur,"Jan 25 2022","MSP 1","Amit Saha (987456321478)",8630180711,15000.00,21000.00,"Feb 27 2022"
12,INV/2021-22/6/10,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
13,INV/2021-22/6/9,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
14,INV/2021-22/6/8,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
15,INV/2021-22/6/7,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
16,INV/2021-22/6/6,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
17,INV/2021-22/6/5,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 3","Developer SM (123456789102)",8777269326,30000.00,45000.00,"Feb 05 2022"
18,INV/2021-22/6/4,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
19,INV/2021-22/6/3,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 3","Developer SM (123456789102)",8777269326,30000.00,45000.00,"Feb 05 2022"
20,INV/2021-22/6/2,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 2","Developer SM (123456789102)",8777269326,21000.00,30450.00,"Mar 07 2022"
21,INV/2021-22/6/1,"Jaipur (3) - 'C' Scheme","Jan 24 2022","MSP 1","Developer SM (123456789102)",8777269326,15000.00,21000.00,"Feb 26 2022"
,
